Country,Principle
AT,0.5255238519839501
BE,0.5602941176470588
BG,0.5770547945205479
CH,0.5799507995079952
CY,0.5087420526793821
CZ,0.6485993701309463
DE,0.5752907415798217
DK,0.6106241234221598
EE,0.6222584738082292
ES,0.5401392961876833
FI,0.6194645732689211
FR,0.49961991638160397
GB,0.6044662831575583
HR,0.5327492699207341
HU,0.5980968858131488
IE,0.5603221564760027
IS,0.5415024091108191
IT,0.4980350877192982
LT,0.6313913470993118
LV,0.5632264063226405
ME,0.5520833333333335
NL,0.6399156939040208
NO,0.6263197586727
PL,0.6045875420875421
PT,0.5261455054214762
RS,0.5439669594312004
SE,0.6059590973201691
SI,0.518076493579006
SK,0.5961805555555556
