p,Dist_p,Dist_inf,Diff
1.01,0.004345734551909487,0.7112467152997279,0.7069009807478185
1.02,0.0061792770438170615,0.6921695180233626,0.6859902409795455
1.03,0.010832631824609137,0.6711559937436873,0.6603233619190781
1.04,0.02204500232339209,0.6449218741582321,0.62287687183484
1.05,0.03820440710557184,0.6155696359995108,0.5773652288939389
1.06,0.054378555311552834,0.5880309011879256,0.5336523458763727
1.07,0.07029277374310011,0.5629391206282651,0.492646346885165
1.08,0.08259794767133789,0.5447845905094209,0.462186642838083
1.09,0.09417794692120934,0.5278165394283302,0.43363859250712083
1.1,0.10400802568790465,0.5117965776562926,0.4077885519683879
1.11,0.11247078777547811,0.4953500423144917,0.3828792545390136
1.12,0.120563937343348,0.4808581346335554,0.3602941972902074
1.1300000000000001,0.1270883035559532,0.46744850610810806,0.3403602025521548
1.1400000000000001,0.13348433977202853,0.4549393085587987,0.32145496878677016
1.1500000000000001,0.138937223430937,0.4432559458497341,0.3043187224187971
1.1600000000000001,0.14339903374204963,0.43225553939422623,0.2888565056521766
1.1700000000000002,0.14851759011932805,0.420904807208554,0.272387217089226
1.1800000000000002,0.15343476537641476,0.40977486655043777,0.256340101174023
1.1900000000000002,0.15727716069393596,0.3995179651811469,0.24224080448721094
1.2000000000000002,0.16084074441614435,0.3896051022958786,0.22876435787973423
1.2100000000000002,0.16365074011470984,0.38041640873745347,0.21676566862274363
1.2200000000000002,0.1666271580913319,0.37117483453581224,0.20454767644448033
1.2300000000000002,0.16869134001391342,0.36281020043968,0.19411886042576657
1.2400000000000002,0.17093784574681906,0.3543862532718249,0.18344840752500582
1.2500000000000002,0.17199878733828391,0.3471427339455793,0.1751439466072954
1.2600000000000002,0.17312663934086744,0.3399850264988015,0.16685838715793408
1.2700000000000002,0.1742114996708464,0.33292599453784977,0.15871449486700337
1.2800000000000002,0.1749633287437394,0.3263430777120867,0.1513797489683473
1.2900000000000003,0.17536554822316325,0.32013381911513544,0.1447682708919722
1.3000000000000003,0.1761162289460518,0.31365581175559254,0.13753958280954073
1.3100000000000003,0.17640322957897286,0.3077410575590952,0.13133782798012233
1.3200000000000003,0.1770443316516299,0.30156550741591365,0.12452117576428376
1.3300000000000003,0.1774257485548777,0.29577605085968744,0.11835030230480975
1.3400000000000003,0.17749279471849597,0.2904087608158403,0.11291596609734436
1.3500000000000003,0.17749969731099444,0.28522461596609955,0.10772491865510511
1.3600000000000003,0.17801131775444834,0.27963573617432613,0.1016244184198778
1.3700000000000003,0.1777806190781195,0.2749340811048799,0.09715346202676037
1.3800000000000003,0.1775368118501997,0.2703686659980756,0.09283185414787587
1.3900000000000003,0.17759324950841945,0.26558236721933204,0.08798911771091258
1.4000000000000004,0.1774984282867667,0.2610657752564816,0.0835673469697149
1.4100000000000004,0.1771563169463767,0.2568814706067482,0.0797251536603715
1.4200000000000004,0.1768090269111174,0.2527953206204401,0.07598629370932267
1.4300000000000004,0.1764597449139081,0.24880627763093832,0.07234653271703023
1.4400000000000004,0.17629134334063298,0.24473104670905008,0.06843970336841709
1.4500000000000004,0.17583774360925622,0.2410276687822493,0.06518992517299307
1.4600000000000004,0.17562374345927093,0.23704692590399376,0.061423182444722835
1.4700000000000004,0.17511761509822063,0.2335831305617358,0.058465515463515166
1.4800000000000004,0.17462933778895143,0.2301923403353288,0.05556300254637736
1.4900000000000004,0.1743945933778981,0.22664366025798732,0.052249066880089234
1.5000000000000004,0.17391371558471608,0.22342152106446894,0.049507805479752864
1.5100000000000005,0.1734103688425547,0.2203207452051401,0.04691037636258541
1.5200000000000005,0.1729144325577167,0.21730539594694895,0.044390963389232235
1.5300000000000005,0.17245153688466425,0.2143340123211705,0.04188247543650625
1.5400000000000005,0.17201133435498478,0.2114173536253266,0.03940601927034182
1.5500000000000005,0.17192001529678896,0.20812246701209233,0.03620245171530337
1.5600000000000005,0.17136525992391322,0.20546683229754525,0.03410157237363204
1.5700000000000005,0.17083526080890263,0.20288724517085258,0.03205198436194995
1.5800000000000005,0.17034699323233898,0.20032848474051343,0.029981491508174446
1.5900000000000005,0.16989698986325494,0.1977916453999031,0.02789465553664816
1.6000000000000005,0.16946994614176494,0.19529630015216734,0.025826354010402397
1.6100000000000005,0.16905936982051017,0.1928489589671695,0.023789589146659323
1.6200000000000006,0.16866167512929003,0.1904523495163387,0.021790674387048653
1.6300000000000006,0.16844065707599548,0.18795022816637041,0.019509571090374933
1.6400000000000006,0.16804207461200435,0.18567743911511134,0.017635364503106987
1.6500000000000006,0.16765361883791804,0.18345445174119804,0.015800832903279993
1.6600000000000006,0.1672747671268741,0.18128068667445305,0.014005919547578932
1.6700000000000006,0.1669001051482811,0.17915770815628984,0.012257603008008738
1.6800000000000006,0.1666764858793344,0.17684774801326797,0.010171262133933573
1.6900000000000006,0.16629767958441635,0.1748484424615939,0.008550762877177542
1.7000000000000006,0.16593263217753734,0.17289084720697462,0.006958215029437276
1.7100000000000006,0.1655781113305663,0.17097542995469006,0.005397318624123765
1.7200000000000006,0.16538619421851036,0.16896017481734427,0.0035739805988339035
1.7300000000000006,0.16502891229675987,0.16714668964167306,0.0021177773449131965
1.7400000000000007,0.16468131985781212,0.165371671703382,0.0006903518455698698
1.7500000000000007,0.16434281758337882,0.1636344279025153,0.0007083896808635082
1.7600000000000007,0.1640128969177544,0.161934240106912,0.0020786568108424053
1.7700000000000007,0.16369111402310743,0.1602703834919237,0.003420730531183719
1.7800000000000007,0.16337707443945226,0.15864212425029914,0.004734950189153125
1.7900000000000007,0.16307042325925716,0.1570487233578598,0.006021699901397365
1.8000000000000007,0.16290202332641351,0.15530431531142128,0.007597708014992238
1.8100000000000007,0.1625905329659979,0.15380542794065985,0.008785105025338052
1.8200000000000007,0.16244005357196536,0.15220011850100937,0.010239935070955997
1.8300000000000007,0.16212145870689793,0.15078167267136788,0.011339786035530042
1.8400000000000007,0.1618130250744533,0.14938958355018736,0.012423441524265944
1.8500000000000008,0.16151432764802548,0.1480234111938396,0.013490916454185875
1.8600000000000008,0.16122495243586304,0.14668272541441502,0.014542227021448029
1.8700000000000008,0.16094449579404216,0.1453671054950875,0.015577390298954663
1.8800000000000008,0.16067256381202388,0.14407613991361312,0.01659642389841076
1.8900000000000008,0.16040877176179028,0.1428094260754396,0.017599345686350687
1.9000000000000008,0.16015274360295262,0.14156657005759354,0.018586173545359075
1.9100000000000008,0.1599041115373299,0.1403471863642033,0.0195569251731266
1.9200000000000008,0.15976681939919815,0.13901174798161212,0.020755071417586035
